,nomor,nama,update,author
50,51,"Melakukan Penipuan Berulang Kali, Dapatkah Dihukum Sekaligus?",19 Mei 2022,PERSADA UB
51,52,Bisakah Uang Para Korban Binomo-Quotex Kembali?,12 Mei 2022,"Ardi Ferdian, S.H., M.Kn."
52,53,"Saksi Batalkan Keterangan BAP di Persidangan, Bolehkah?",10 Mei 2022,PERSADA UB
53,54,Jerat Pidana Maksimal Bagi Pembuat dan Pengedar Narkoba,28 Apr 2022,"Ladito R. Bagaskoro, S.H., M.H."
54,55,Batas Tanggung Jawab Jaminan Orang dalam Proses Penangguhan Penahanan,26 Apr 2022,Klinik Hukum Universitas Pancasila
55,56,Hukumnya Jika Bidan Menolak Menangani Pasien dalam Keadaan Darurat,21 Apr 2022,"Dr. Rocky Marbun, S.H., M.H."
56,57,Perbedaan Penyelidikan dan Penyidikan Tindak Pidana,21 Apr 2022,Si Pokrol
57,58,Hak Terdakwa atas Pembelaan (Pledoi) dalam Sidang Pidana,20 Apr 2022,"Tri Jata Ayu Pramesti, S.H."
58,59,Arti Putusan Pengadilan “Batal Demi Hukum”,13 Apr 2022,Lembaga Bantuan Hukum Mawar Saron
59,60,Bisakah Penyidik Bawa Tersangka ke Lembaga Rehabilitasi Hanya Berdasarkan Hasil Tes Urine?,13 Apr 2022,"Masda Greisyes Nababan, S.H."
60,61,Dasar Hukum KPK dan Kedudukannya dalam Pemberantasan Korupsi,12 Apr 2022,Si Pokrol
61,62,Tata Cara Permohonan Restitusi dan Kompensasi untuk Korban Tindak Pidana,08 Apr 2022,"Valerie Augustine Budianto, S.H."
62,63,Perbedaan Rutan dan Lapas dalam Sistem Pemidanaan di Indonesia,08 Apr 2022,Si Pokrol
63,64,Asas Diferensiasi Fungsional dalam Hukum Acara Pidana,05 Apr 2022,"Bernadetha Aurelia Oktavira, S.H."
64,65,"Ibu Bunuh Anak di Brebes, Bagaimana Hukumnya?",04 Apr 2022,Si Pokrol
65,66,"Pelanggar Surat Edaran, Bisakah Diproses Hukum oleh Polisi?",01 Apr 2022,"Saufa Ata Taqiyya, S.H."
66,67,Waspada! Kenali Macam-macam Kejahatan di Internet,25 Mar 2022,PERSADA UB
67,68,Langkah Hukum Jika Menjadi Korban Tindak Pidana Penggelapan,18 Mar 2022,"Dr. Aditya Wiguna Sanjaya, S.H., M.H., M.H.Li."
68,69,Hukum Pidana Pasal Pelecehan Seksual dan Pembuktiannya,16 Mar 2022,Si Pokrol
69,70,Hukumnya Jika Perusahaan Transaksi Pakai Data Pribadi Mantan Karyawan,09 Mar 2022,"Erizka Permatasari, S.H."
70,71,"Pengertian Anak Pidana, Anak Negara, dan Anak Sipil",02 Mar 2022,Si Pokrol
71,72,Adakah Biaya Lapor ke Polisi? Cek Faktanya di Sini,23 Feb 2022,"Erizka Permatasari, S.H."
72,73,6 Tips Aman Jual Beli Motor Bekas,22 Feb 2022,Si Pokrol
73,74,"Pasal Perbuatan Tidak Menyenangkan dalam KUHP, Masihkah Ada?",08 Feb 2022,"Tri Jata Ayu Pramesti, S.H."
74,75,"Modus Pura-pura Tertabrak, Masuk Pemerasan?",07 Feb 2022,Si Pokrol
75,76,Kaitan antara BAP dan Putusan Hakim,02 Feb 2022,"Erizka Permatasari, S.H."
76,77,Sanksi Penjaga Rutan yang Menyiksa Tahanan,31 Jan 2022,Si Pokrol
77,78,"Janjikan Lulus Tes CPNS dengan Bayar Sejumlah Uang, Ini Jerat Pidananya",28 Jan 2022,"Erizka Permatasari, S.H."
78,79,"Mengenal Pra Rekonstruksi, Rekonstruksi, dan Konfrontasi dalam Penyidikan",27 Jan 2022,PERSADA UB
79,80,Arti Pidana Penjara Seumur Hidup,24 Jan 2022,"Ladito R. Bagaskoro, S.H., M.H."
80,81,"Mantan Pacar Ancam Sebar Aib ke Medsos, Ini Jerat Hukumnya!",20 Jan 2022,Si Pokrol
81,82,Kewenangan Polri Menindak Demo Anarkis di Kampus,20 Jan 2022,"Erizka Permatasari, S.H."
82,83,Hukumnya Jual Sex Toys di Indonesia,19 Jan 2022,Si Pokrol
83,84,"Sembunyikan Mata-mata Musuh, Ini Jerat Hukumnya",13 Jan 2022,"Shanti Rachmadsyah, S.H."
84,85,Penerapan Pidana Penjara dalam Sistem Peradilan Pidana Anak,07 Jan 2022,Si Pokrol
85,86,Ancaman Hukum untuk Pelaku Tabrak Lari,05 Jan 2022,"Bernadetha Aurelia Oktavira, S.H."
86,87,Prosedur Pemberian Remisi,03 Jan 2022,Si Pokrol
87,88,"Polisi Suruh Pelapor Tangkap Sendiri Pelaku, Ini Hukumnya!",31 Des 2021,"Erizka Permatasari, S.H."
88,89,"Tak Mau Kelas Tatap Muka Dianggap Absen, Masuk Pengancaman?",31 Des 2021,Si Pokrol
89,90,"WNI Pakai Ganja di Luar Negeri, Bisakah Dipidana?",30 Des 2021,"Tri Jata Ayu Pramesti, S.H."
90,91,Pasal untuk Menjerat Pasutri yang Berbohong Hamil,28 Des 2021,PERSADA UB
91,92,Alasan Hukum yang Membenarkan Pemasangan Chip dan Kebiri Kimia,27 Des 2021,"Ryan Ilham Fibriansyah, S.H."
92,93,Apa Itu Red Notice dan Interpol?,23 Des 2021,Seleb Jurist
93,94,"Warga Beri Presiden Hadiah, Termasuk Gratifikasi?",22 Des 2021,"Prof. Dr. Edward Omar Sharif Hiariej, S.H., M.H."
94,95,Penyelesaian Perkara Jika Disuruh Memalsukan Tanda Tangan oleh Pemiliknya,21 Des 2021,Si Pokrol
95,96,"Terdakwa Sopan, Bisakah Jadi Alasan Peringan Pidana?",16 Des 2021,"Bernadetha Aurelia Oktavira, S.H."
96,97,Jerat Hukum dan Ancaman Pidana Pelaku Sodomi,16 Des 2021,Si Pokrol
97,98,Mengapa Benda Milik Korban Tindak Pidana Malah Disita Polisi?,14 Des 2021,"Erizka Permatasari, S.H."
98,99,"Terjerat Utang dengan Lintah Darat, Ini Hukumnya",07 Des 2021,PBH Peradi
99,100,Pasal untuk Menjerat Oknum Polisi yang Perkosa dan Paksa Pacar Aborsi,07 Des 2021,"Dr. (CN) Maju Posko Simbolon, S.H., M.H."
